Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","C222 Structural Metal Product Manufacturing","Employee Count",2100,
"2018","Canterbury Region","C223 Metal Container Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C223 Metal Container Manufacturing","Employee Count",85,
"2018","Canterbury Region","C224 Other Sheet Metal Product Manufacturing","Geographic Units",51,
"2018","Canterbury Region","C224 Other Sheet Metal Product Manufacturing","Employee Count",590,
"2018","Canterbury Region","C229 Other Fabricated Metal Product Manufacturing","Geographic Units",198,
"2018","Canterbury Region","C229 Other Fabricated Metal Product Manufacturing","Employee Count",1150,
"2018","Canterbury Region","C231 Motor Vehicle and Motor Vehicle Part Manufacturing","Geographic Units",102,
"2018","Canterbury Region","C231 Motor Vehicle and Motor Vehicle Part Manufacturing","Employee Count",730,
"2018","Canterbury Region","C239 Other Transport Equipment Manufacturing","Geographic Units",81,
"2018","Canterbury Region","C239 Other Transport Equipment Manufacturing","Employee Count",2100,
"2018","Canterbury Region","C241 Professional and Scientific Equipment Manufacturing","Geographic Units",54,
"2018","Canterbury Region","C241 Professional and Scientific Equipment Manufacturing","Employee Count",360,
"2018","Canterbury Region","C242 Computer and Electronic Equipment Manufacturing","Geographic Units",51,
"2018","Canterbury Region","C242 Computer and Electronic Equipment Manufacturing","Employee Count",1200,
"2018","Canterbury Region","C243 Electrical Equipment Manufacturing","Geographic Units",42,
"2018","Canterbury Region","C243 Electrical Equipment Manufacturing","Employee Count",600,
"2018","Canterbury Region","C244 Domestic Appliance Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C244 Domestic Appliance Manufacturing","Employee Count",18,
"2018","Canterbury Region","C245 Pump, Compressor, Heating and Ventilation Equipment Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C245 Pump, Compressor, Heating and Ventilation Equipment Manufacturing","Employee Count",420,
"2018","Canterbury Region","C246 Specialised Machinery and Equipment Manufacturing","Geographic Units",96,
"2018","Canterbury Region","C246 Specialised Machinery and Equipment Manufacturing","Employee Count",820,
"2018","Canterbury Region","C249 Other Machinery and Equipment Manufacturing","Geographic Units",363,
"2018","Canterbury Region","C249 Other Machinery and Equipment Manufacturing","Employee Count",2000,
"2018","Canterbury Region","C251 Furniture Manufacturing","Geographic Units",210,
"2018","Canterbury Region","C251 Furniture Manufacturing","Employee Count",920,
"2018","Canterbury Region","C259 Other Manufacturing","Geographic Units",141,
"2018","Canterbury Region","C259 Other Manufacturing","Employee Count",370,
"2018","Canterbury Region","D261 Electricity Generation","Geographic Units",12,
